time_s,I_prompt,Q_prompt
0.474,607.499640766883,-6832.43152159474
0.475,452.83920941279,-6765.23195002346
0.476,661.837953135952,-6840.39388887899
0.477,376.506298127807,-6898.56308006288
0.478,532.594064704173,-6828.43418724446
0.479,465.09459805667,-6902.58635449874
0.48,128.847157033843,-6870.64823165371
0.481,244.006142310627,-6957.20804252961
0.482,-187.417647804112,-6874.61366111671
0.483,-70.9969886684278,-6918.18008552062
0.484,-225.283751874408,-6857.95199171483
0.485,49.033292125307,-6834.62388564969
0.486,-210.402463987974,-6866.48621718257
0.487,-105.979539384476,-6817.8781661229
0.488,-218.90496306787,-6790.66587099805
0.489,-372.184181517907,-6896.81088932043
0.49,-255.965080576933,-6986.01538426585
0.491,-179.325041691104,-6923.08760955778
0.492,-146.060404026213,-6891.08975642144
0.493,-187.730197827337,-6901.69490342252
0.494,-326.567805637935,-6909.37119502112
0.495,-434.319152640367,-6749.65981625449
0.496,-152.761565967139,-6773.81072584055
0.497,-382.241446647477,-6781.07066991617
0.498,-131.748704821954,-6707.40367958859
0.499,-123.035269672526,-6734.72996730217
0.5,-364.266168027074,-6601.67827864855
0.501,-200.643583290307,-6637.82027499492
0.502,-519.13555731509,-6500.48487287854
0.503,-328.881868530641,-6533.85517086065
0.504,-402.008390956002,-6470.99202355966
0.505,-94.6453564614813,-6460.5883079611
0.506,-284.812115955395,-6488.33119980876
0.507,-109.399176567237,-6427.02149946596
0.508,-83.1243448982306,-6383.2137946358
0.509,-130.188412358655,-6457.29398987112
0.51,69.7366056372686,-6547.55565315924
0.511,210.360468382998,-6448.43403393399
0.512,328.075832692946,-6376.76941528646
0.513,370.309660597853,-6391.16493684461
0.514,283.062031267348,-6441.36480793188
0.515,172.316956857094,-6355.43922263091
0.516,396.372944648644,-6414.24821865247
0.517,168.399297834752,-6479.69126290338
0.518,389.793055148487,-6398.19931084483
0.519,400.034648407945,-6459.42554439557
0.52,118.49476072925,-6412.67088680478
0.521,280.23163460662,-6459.38978517633
0.522,-63.5448076636858,-6341.87297619376
0.523,108.096033200529,-6349.25897046199
0.524,27.3126112144546,-6289.1860995655
0.525,307.115492315999,-6248.72710506982
0.526,62.1160632799507,-6288.77505651542
0.527,179.724962395866,-6235.99598931358
0.528,157.130613196848,-6229.69799912387
0.529,96.0266812021705,-6345.14387955296
0.53,267.721509045506,-6433.23558874437
0.531,388.647092570226,-6338.14859397813
0.532,471.172338804833,-6289.23771069054
0.533,486.324136003684,-6291.48405500338
0.534,413.432839975996,-6307.53198625201
0.535,308.457653669181,-6211.29738319951
0.536,520.499983989931,-6189.47616842875
0.537,333.319386407149,-6136.76859133238
0.538,551.061660899588,-6001.57084552549
0.539,538.228478579986,-6003.08396897798
0.54,277.370868381734,-5907.54952186109
0.541,391.338594935195,-5916.44904004816
0.542,39.9906704160209,-5818.03041637008
0.543,171.019556188124,-5822.99180726254
0.544,51.2887191073385,-5754.44627714021
0.545,251.298989592381,-5685.76360788224
0.546,13.8505140559729,-5699.52225908721
0.547,52.0530794542658,-5630.46307905018
0.548,-26.3619766875689,-5599.75658894849
0.549,-153.744376952054,-5668.60779471442
0.55,-30.4648545959073,-5732.41782879535
0.551,22.8209301164859,-5641.47847291734
0.552,40.0717054574752,-5603.68551397409
0.553,34.2952932357862,-5566.0731405336
0.554,-75.4022514180379,-5539.69632341461
0.555,-169.858274263105,-5385.58267992621
0.556,-0.0113891345180628,-5345.41831037826
0.557,-215.167244280042,-5322.09376598542
0.558,-55.2779520331624,-5217.65791301958
0.559,-65.1542566943947,-5197.03061227765
0.56,-278.928654965229,-5104.18871123615
0.561,-157.578977899339,-5110.62084943443
0.562,-403.940584110008,-4935.66217392793
0.563,-279.808165832308,-4932.12980473862
0.564,-354.094357634092,-4824.5552383084
0.565,-145.359557228013,-4749.47749455447
0.566,-309.808758452426,-4703.67691171075
0.567,-226.760803593602,-4573.08939578406
0.568,-272.632446213244,-4449.09957502244
0.569,-364.251715871868,-4416.5284500077
0.57,-241.312080830628,-4416.38480325444
0.571,-169.874869931851,-4295.05815103401
0.572,-128.174706909304,-4226.53812759164
0.573,-134.311061985655,-4180.83583353333
0.574,-213.544144028182,-4103.42977699897
0.575,-257.545013283153,-3948.8855852775
0.576,-115.910735537728,-3930.78655167451
0.577,-213.638439348606,-3887.31703874614
0.578,-31.318578105132,-3836.31602022299
0.579,-29.4513490667847,-3858.74211619205
0.58,-200.024355877295,-3808.3973148459
0.581,-115.903792059115,-3847.99851255315
0.582,-338.341286766868,-3749.54011139231
0.583,-251.533352581462,-3746.6310141887
0.584,-304.701194435136,-3678.7689420495
0.585,-147.182620515083,-3618.51679215475
0.586,-284.654474835748,-3553.62927114811
0.587,-223.036181046077,-3457.65710889288
0.588,-243.712500430432,-3394.50626754859
0.589,-301.254302323373,-3388.69337586715
0.59,-211.43090546948,-3396.25167772729
0.591,-143.176340919608,-3303.20148170512
0.592,-123.583650330519,-3232.126936685
0.593,-161.058795056548,-3228.51275689897
0.594,-288.116031271936,-3217.54792541557
0.595,-390.709754228016,-3145.33638108804
0.596,-265.303013689009,-3165.54956009869
0.597,-360.283809843561,-3132.2792865406
0.598,-241.840036304281,-3080.26230290658
0.599,-295.783954276812,-3118.38949246253
0.6,-464.855908322564,-3062.63562467781
0.601,-396.33897761015,-3090.63778399735
0.602,-547.137978647516,-3011.43313027659
0.603,-441.56000959467,-3052.8576022291
0.604,-480.252718426521,-3002.55410673345
0.605,-329.943680550309,-2989.65551796826
0.606,-442.973522153052,-2974.95095859727
0.607,-418.602879951982,-2969.02947381705
0.608,-464.658467247777,-2966.45335719919
0.609,-520.922765001875,-3000.06328972819
0.61,-441.903712106953,-3030.96212423109
0.611,-394.235234761537,-2947.35921536185
0.612,-351.88070613626,-2903.50904289838
0.613,-336.617393612161,-2929.78221470936
0.614,-365.230303089826,-2960.53607600359
0.615,-404.738952394491,-2943.09169584871
0.616,-288.829514480755,-2974.11568112481
0.617,-364.054510059103,-2991.57251997789
0.618,-233.585012600042,-2993.66226241433
0.619,-239.559292050685,-3049.3149104872
0.62,-366.917307728524,-3052.95707169924
0.621,-266.461311693551,-3115.73421286841
0.622,-409.650431827934,-3077.3633249085
0.623,-318.85975429377,-3122.71173451342
0.624,-356.23087024754,-3096.30772730867
0.625,-216.730205118658,-3111.98940440917
0.626,-301.044292527554,-3155.48722575576
0.627,-221.672617553157,-3196.53344113286
0.628,-227.786122355571,-3228.07559095845
0.629,-234.789605090465,-3317.54309648363
0.63,-87.6072287698148,-3410.68396335953
0.631,36.5553537745067,-3401.84356809564
0.632,175.086613996343,-3394.71262106809
0.633,301.179973178528,-3429.83896617371
0.634,343.158700716592,-3475.76487709716
0.635,364.56669671389,-3456.67309244005
0.636,536.813497243651,-3458.6393743849
0.637,438.711244402571,-3492.05118967873
0.638,581.216643118304,-3442.79667045299
0.639,580.739761999875,-3500.6517113976
0.64,413.718989789116,-3502.1922086729
0.641,452.843806400626,-3528.31409519727
0.642,251.04557072978,-3504.5730905525
0.643,325.039639060084,-3490.1464031203
0.644,262.121800053001,-3436.82907091385
0.645,406.44291654419,-3386.44072220477
0.646,275.881607967494,-3372.44962749855
0.647,337.903680232998,-3290.50231314122
0.648,328.634252460857,-3255.63761822055
0.649,304.221363213797,-3285.33317898437
0.65,399.192904808137,-3305.57016874741
0.651,455.39005189165,-3249.67858873884
0.652,493.940489229769,-3199.36909100207
0.653,504.259235163705,-3155.71200723657
0.654,444.498283180075,-3122.35095182942
0.655,414.75647816691,-3039.04534793796
0.656,557.949395831952,-3023.54127658939
0.657,465.425916185433,-3044.29787669926
0.658,566.795623242992,-3003.25714270842
0.659,583.23710664541,-3020.07385326308
0.66,448.832029997111,-2997.93939789335
0.661,532.669101911446,-3007.16348939933
0.662,348.468409720114,-3006.92500684021
0.663,388.070787197194,-3036.96332336785
0.664,281.95674858159,-3026.32087894275
0.665,393.167675608796,-3005.97421212001
0.666,245.978480142968,-3049.19453806885
0.667,225.643227228292,-3055.96978176704
0.668,138.985674646481,-3099.50344137275
0.669,45.401663558929,-3136.6567709177
